[4,4,4,4,4,2,2,4,2,4,4,2,4,2,4,4,2,4,4,35.00%
[1,2,1,1,1,2,2,2,3,2,3,2,3,2,2,2,3,4,3,55.00%
[1,1,1,1,1,2,4,2,3,2,2,2,1,2,2,4,4,3,4,60.00%
[1,1,1,1,1,3,3,3,3,3,3,2,2,2,2,2,4,4,4,50.00%
[1,1,1,1,1,2,4,2,3,4,3,2,1,2,4,4,3,4,4,60.00%
[1,2,3,3,4,2,2,4,4,4,4,2,4,2,4,4,2,3,3,20.00%
[1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,90.00%
[1,2,4,1,4,3,3,4,3,4,4,3,3,4,4,4,4,3,4,40.00%
[2,2,3,4,4,1,1,1,2,4,1,2,4,2,4,3,4,3,4,20.00%
[1,2,4,1,4,1,2,4,1,4,4,2,3,2,4,3,4,2,4,35.00%
[1,2,2,4,4,1,3,4,1,4,4,1,1,2,4,4,2,4,4,25.00%
[1,1,1,1,1,2,2,2,3,2,3,2,2,2,4,4,4,3,4,70.00%
[1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,90.00%
[1,1,1,1,1,2,3,4,4,4,4,2,4,2,4,4,4,2,3,40.00%
[1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,4,4,4,4,75.00%
[1,1,1,1,1,2,2,2,3,2,2,2,2,2,2,2,2,3,2,45.00%
[1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,90.00%
[1,2,1,1,1,3,3,3,3,4,4,3,3,3,3,4,3,4,4,60.00%
[1,1,1,1,1,2,4,1,3,4,3,2,1,2,4,4,3,1,3,40.00%
[1,1,1,1,1,3,3,3,4,2,2,4,3,4,4,4,4,2,4,55.00%
[3,1,2,1,2,1,1,1,4,1,1,4,1,4,2,4,4,2,4,30.00%
[1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,50.00%
[2,2,4,2,2,1,1,4,3,4,3,1,4,3,4,4,3,1,4,25.00%
[1,1,1,1,1,2,2,2,3,4,4,2,4,2,4,4,3,4,4,60.00%
[1,1,1,1,1,2,2,2,3,4,4,4,4,4,4,4,4,4,4,65.00%
[1,3,1,3,3,2,2,4,4,4,4,2,4,3,4,4,4,2,4,45.00%
[1,1,1,1,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,70.00%
[3,3,3,3,3,2,2,2,4,4,4,2,4,2,4,4,4,1,4,35.00%
[1,3,1,1,1,2,1,2,2,4,1,2,2,2,4,4,3,2,4,50.00%
[1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,90.00%
[1,1,1,1,1,2,2,2,4,4,4,2,3,2,4,4,3,1,4,60.00%
[1,2,3,4,2,2,4,3,4,4,4,2,4,2,4,4,4,2,3,25.00%
[1,1,1,1,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,45.00%
[1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,90.00%
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25.00%
[1,1,1,1,1,2,3,2,4,4,4,2,4,2,2,4,4,2,4,55.00%
[1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,50.00%
[1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,55.00%
[1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,40.00%
[1,1,1,1,1,2,2,1,3,4,3,3,1,3,4,4,3,4,4,70.00%
[1,3,1,4,1,2,2,4,3,4,4,2,4,2,4,4,3,1,3,30.00%
[1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,50.00%
[3,1,3,1,1,2,4,2,3,2,3,2,3,2,4,4,1,4,4,60.00%
[1,1,1,1,1,3,4,4,2,4,2,3,4,3,4,4,2,4,4,60.00%
[1,1,1,1,1,2,2,2,3,2,3,2,3,2,2,2,4,4,4,75.00%
[1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,4,4,4,4,75.00%
[1,2,1,1,1,3,3,4,4,4,4,2,4,2,4,4,4,3,3,30.00%
[1,2,1,4,1,2,3,4,3,2,3,1,1,1,4,4,4,2,4,50.00%
[1,1,1,1,1,2,2,2,3,2,3,2,2,2,2,2,2,3,2,50.00%
[3,2,3,4,3,1,2,4,4,4,4,3,4,2,4,2,3,4,4,25.00%
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2595.00%
