[6, 2, 6, 6, 4, 6, 2, 2, 2, 2, 2, 2, 4, 2, 2]  13.3333%
[4, 2, 4, 4, 4, 4, 3, 2, 2, 2, 4, 2, 4, 3, 3]  26.6667%
[2, 2, 3, 3, 4, 3, 2, 2, 2, 2, 4, 2, 4, 2, 2]  33.3333%
[2, 4, 2, 2, 4, 2, 3, 3, 3, 3, 4, 3, 4, 3, 3]  60.0%
[4, 2, 4, 4, 3, 4, 2, 2, 2, 2, 4, 2, 4, 2, 2]  20.0%

[2, 2, 3, 4, 4, 4, 4, 2, 2, 2, 4, 2, 3, 2, 2]  20.0%
[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2]  40.0%
[2, 3, 4, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2]  20.0%
[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2]  40.0%
[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]  33.3333%

[2, 4, 2, 2, 4, 2, 2, 3, 2, 2, 3, 2, 2, 4, 2]  33.3333%
[4, 4, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 4]  26.6667%
[4, 4, 2, 2, 4, 2, 2, 2, 2, 4, 2, 2, 2, 2, 4]  20.0%
[4, 4, 2, 2, 4, 2, 2, 2, 2, 4, 2, 2, 2, 2, 4]  20.0%
[4, 4, 2, 2, 4, 2, 2, 2, 2, 4, 2, 2, 2, 2, 4]  20.0%

[4, 2, 3, 3, 2, 2, 2, 4, 2, 2, 2, 2, 2, 3, 2]  13.3333%
[4, 2, 2, 3, 2, 2, 2, 4, 2, 2, 2, 2, 2, 3, 2]  20.0%
[4, 2, 3, 3, 2, 2, 2, 4, 2, 2, 2, 2, 2, 3, 2]  13.3333%
[4, 2, 3, 3, 2, 2, 2, 4, 2, 2, 2, 2, 2, 3, 2]  13.3333%
[4, 2, 3, 3, 2, 2, 2, 4, 2, 4, 4, 4, 4, 3, 2]  33.3333%
